,Year,Maker,Total,MarketShare,Month,Sales
459,2021,Ampere,25516,10%,Dec,3411.0
460,2021,Ather,19981,8%,Dec,1813.0
461,2021,Pure,14969,6%,Dec,1685.0
462,2021,Ola,14405,6%,Dec,240.0
463,2021,Tvs,9740,4%,Dec,1119.0
464,2021,Revolt,7641,3%,Dec,835.0
465,2021,Bajaj,7114,3%,Dec,642.0
466,2021,Being,7374,3%,Dec,1190.0
467,2021,Jitendra,3875,2%,Dec,503.0
468,2021,Others,24865,10%,Dec,2604.0
469,2022,Ola,152779,21%,Dec,17371.0
470,2022,Okinawa,95939,13%,Dec,5282.0
471,2022,Hero,89874,12%,Dec,8102.0
472,2022,Ampere,87392,12%,Dec,4593.0
473,2022,Tvs,82109,11%,Dec,9365.0
474,2022,Ather,76939,11%,Dec,7695.0
475,2022,Bajaj,32805,5%,Dec,3241.0
476,2022,Okaya,13175,2%,Dec,1448.0
477,2022,Revolt,12932,2%,Dec,37.0
478,2022,Pure,11556,2%,Dec,780.0
479,2022,Being,11018,2%,Dec,966.0
480,2022,Jitendra,8563,1%,Dec,668.0
481,2022,Others,52973,7%,Dec,5558.0
482,2023,Ola,241836,33%,Dec,30354.0
483,2023,Tvs,141801,20%,Dec,12312.0
484,2023,Ather,82527,11%,Dec,6546.0
485,2023,Bajaj,77286,11%,Dec,10413.0
486,2023,Ampere,49301,7%,Dec,3349.0
487,2023,Okinawa,19532,3%,Dec,965.0
488,2023,Hero,11447,2%,Dec,552.0
489,2023,Okaya,12146,2%,Dec,709.0
490,2023,Bgauss,10776,1%,Dec,1216.0
491,2023,Battre,4047,1%,Dec,244.0
492,2023,Kinetic,5108,1%,Dec,668.0
493,2023,Revolt,6269,1%,Dec,681.0
494,2023,Others,62060,9%,Dec,7783.0
495,2019,Hero,7865,29%,Jan,616.0
496,2019,Okinawa,10544,39%,Jan,734.0
497,2019,Ather,2905,11%,Jan,284.0
498,2019,Ampere,2518,9%,Jan,867.0
499,2019,Revolt,1063,4%,Jan,314.0
500,2019,Others,1939,7%,Jan,127.0
501,2020,Hero,15956,36%,Jan,1788.0
502,2020,Okinawa,7129,16%,Jan,746.0
503,2020,Ampere,6095,14%,Jan,954.0
504,2020,Ather,4401,10%,Jan,606.0
505,2020,Revolt,1793,4%,Jan,155.0
506,2020,Bajaj,1470,3%,Jan,100.0
507,2020,Pure,2080,5%,Jan,272.0
508,2020,Being,1151,3%,Jan,176.0
509,2020,Jitendra,639,1%,Jan,37.0
510,2020,Tvs,838,2%,Jan,149.0
511,2020,Others,3251,7%,Jan,336.0
512,2021,Hero,69235,27%,Jan,8153.0
513,2021,Okinawa,47926,19%,Jan,5739.0
514,2021,Ampere,25516,10%,Jan,4367.0
515,2021,Ather,19981,8%,Jan,1881.0
516,2021,Pure,14969,6%,Jan,1691.0
517,2021,Ola,14405,6%,Jan,1107.0
518,2021,Tvs,9740,4%,Jan,1155.0
519,2021,Revolt,7641,3%,Jan,673.0
520,2021,Bajaj,7114,3%,Jan,612.0
521,2021,Being,7374,3%,Jan,1062.0
522,2021,Jitendra,3875,2%,Jan,535.0
523,2021,Others,24865,10%,Jan,3066.0
524,2022,Ola,152779,21%,Jan,18353.0
525,2022,Okinawa,95939,13%,Jan,4408.0
526,2022,Hero,89874,12%,Jan,6400.0
527,2022,Ampere,87392,12%,Jan,4457.0
528,2022,Tvs,82109,11%,Jan,10464.0
529,2022,Ather,76939,11%,Jan,9226.0
530,2022,Bajaj,32805,5%,Jan,2252.0
531,2022,Okaya,13175,2%,Jan,1265.0
532,2022,Revolt,12932,2%,Jan,14.0
533,2022,Pure,11556,2%,Jan,717.0
534,2022,Being,11018,2%,Jan,571.0
535,2022,Jitendra,8563,1%,Jan,522.0
536,2022,Others,52973,7%,Jan,4242.0
537,2023,Ola,241836,33%,Jan,32308.0
538,2023,Tvs,141801,20%,Jan,15291.0
539,2023,Ather,82527,11%,Jan,9323.0
540,2023,Bajaj,77286,11%,Jan,10866.0
541,2023,Ampere,49301,7%,Jan,2536.0
542,2023,Okinawa,19532,3%,Jan,683.0
543,2023,Hero,11447,2%,Jan,418.0
544,2023,Okaya,12146,2%,Jan,581.0
545,2023,Bgauss,10776,1%,Jan,1487.0
546,2023,Battre,4047,1%,Jan,288.0
547,2023,Kinetic,5108,1%,Jan,820.0
548,2023,Revolt,6269,1%,Jan,530.0
549,2023,Others,62060,9%,Jan,6120.0
550,2019,Hero,7865,29%,Feb,648.0
551,2019,Okinawa,10544,39%,Feb,679.0
552,2019,Ather,2905,11%,Feb,369.0
553,2019,Ampere,2518,9%,Feb,296.0
554,2019,Revolt,1063,4%,Feb,155.0
555,2019,Others,1939,7%,Feb,206.0
556,2020,Hero,15956,36%,Feb,2308.0
557,2020,Okinawa,7129,16%,Feb,1092.0
558,2020,Ampere,6095,14%,Feb,825.0
559,2020,Ather,4401,10%,Feb,626.0
560,2020,Revolt,1793,4%,Feb,70.0
561,2020,Bajaj,1470,3%,Feb,111.0
562,2020,Pure,2080,5%,Feb,408.0
563,2020,Being,1151,3%,Feb,262.0
564,2020,Jitendra,639,1%,Feb,124.0
565,2020,Tvs,838,2%,Feb,208.0
566,2020,Others,3251,7%,Feb,545.0
567,2021,Hero,69235,27%,Feb,7804.0
568,2021,Okinawa,47926,19%,Feb,6124.0
569,2021,Ampere,25516,10%,Feb,4432.0
